question,answer
Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum
Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory
How does a Mallard's tongue work?,It uses short spikes to push struggling prey and other food down its throat
Why did Coolidge not attend law school?,It was too expensive
"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.
How is Singapore's climate characterized?,"Its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall"
"What do kangaroos use for ""crawl-walking?""",its hind feet
What did Uruguay win in 1828?,Its independence
What insulate it against the cold?,Its think blubber and fur.
How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat"
What is the first word on the page?,James
Who did Cleveland run against in 1884?,James G. Blaine
What is the first word on the page?,James_Monroe
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan
Which nation invaded Singapore during World War II?,Japan
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Who did MassachuS08_setts send in 1774?,John Adams
Who represented the Continental Congress in Europe?,John Adams
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams
What is now part of Adams National Historical Park?,John Adams' birthplace
Who is the head of state of Ghana?,John Agyekum Kufuor
Who was the general in charge at the Battle of Antietam?,John Alexander McClernand
Who assassinated Lincoln?,John Wilkes Booth
Who assassinated Lincoln?,John Wilkes Booth
When was Coolidge born?,July 4 1872
When did James Monroe die?,"July 4, 1831"
Since when has Egypt been a republic?,June 18 1953
Since when has Egypt been a republic?,June 18 1953.
When did he die?,June 24 1908
Where is the largest gray wolf population thought to be found?,Kazakhstan
Where is the largest gray wolf population thought to be found?,Kazakhstan
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological"""
When do wolves molt?,Late Spring or Early Summer
When do wolves molt?,late spring or early summer
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Law partnership founded before University of Buffalo
What sort of cats are solitary?,Leopards
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel"
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel."
What is the smallest German-speaking country in the world?,Liechtenstein
What enjoys one of the world's highest standards of living?,Liechtenstein's population
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.
"What does ""singa"" mean?",lion
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. 
Who dismantled partisan and sectional coalitions ?,many congressmen
When did Monroe's presidency expired?,"March 4, 1825"
When did Monroe's presidency expired?,"March 4, 1825."
When did Lincoln first serve as President?,"March 4, 1861"
When did Lincoln first serve as President?,"March 4, 1861"
Who died in childbirth in 1772?,Margaret Miller
Who died in 1832?,Margaret Miller.
What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur
What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur
Where do joeys complete postnatal development?,marsupium
What is the MRT?,Mass Rapid Transit system
Of what state was Coolidge governor?,MassachuS08_setts
What is an economic use of a duck?,Meat
What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers"
What are some economic uses for duck?,"Meat,eggs,feathers"
What district was Ford elected from?,Michigan's 5th congressional district
What district was Ford elected from?,Michigan's 5th congressional district
Who or what fell in love with abigail powers?,millard fillmore
Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry
Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry
What is cause of polar bear's skin diseases?,mites or other parasites
What is cause of polar bear's skin diseases?,Mites or other parasites
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions
What is a collective noun for kangaroos?,"mob, troop, or court"
What is a collective noun for kangaroos?,"Mob, troop, or court"
What is the highest mountain in Romania?,Moldoveanu Peak
What is the highest mountain in Romania?,Moldoveanu Peak.
What is the most densely populated independent country in the world?,Monaco
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe
"What does ""Era of Good Feelings"" refers to?","Monroe allowed his political base to decay, which reduced tensions and led to the naming of his era as the ""Era of Good Feelings""."
Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.
What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
What happened in the election of 1816?,Monroe was elected president
When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820."
What expired on March?,Monroe's presidency
What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo
Who founded Montevideo?,Montevideo was founded by the Spanish in the early 18th century as a military stronghold.
How many people use the bus network daily?,More than 2.78 million people.
What is the poulation of Egypt?,more than 78 million
What is the estimated population of Egypt?,More than 78 million.
How heavy is a male polar bear?,Most adult males weigh 350-650 kg
What are the similarities between beetles and grasshoppers?,mouthparts
"What consists of a low, barren plain, covered with sand?",Much of the country.
What are turtle eggs covered in when they incubate?,Mud or Sand
What are turtle eggs covered in when they incubate?,mud or sand
"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci
"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci
The Celsius crater on the Moon is what?,named after him
Did Roosevelt receive a Medal of Honor?,nein
Who did Ford nominate for Vice President?,Nelson Rockefeller
Where was Theodore Roosevelt from?,New York City
"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla
Are leopards circular?,No
Are otters herbivores?,No
Are otters herbivores?,No
Are penguins afraid of humans?,no
Are penguins afraid of humans?,no
Are there a large number of Jews living in Egypt today?,no
Are there a large number of Jews living in Egypt today?,No
Are there many Roma in Romania?,no
Can beetles be found in polar regions?,No
Can beetles be found in polar regions?,No
Did continental European immigrants not S08_settle the prairies ?,no
"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no
"Did ford get an award called ""Congressman's congressman""?",No
Did Grover Cleveland support women's suffrage?,No
Did Grover Cleveland support women's suffrage?,no
Did his mother die of pneumonia?,no
Did John Adams get along with Alexander Hamilton?,no
Did John Adams support the Stamp Act of 1765?,No
Did John Adams support the Stamp Act of 1765?,No
"Did Millard Fillmore die on March 8, 1974?",no
"Did Millard Fillmore die on March 8, 1974?",no
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no
Did Singapore's standard of living decrease since independence?,no
Did the Dutch build the Elmina Castle?,No
Did the Dutch build the Elmina Castle?,no
Did the media contribute 15.6% to Singapore's GDP in 2001?,no
Did the U.S. join the League of Nations?,no
Did the U.S. join the League of Nations?,No
Did Theodore Roosevelt study Judo?,No
Did Wilson support desegregation?,no
Did Wilson support the committee system?,no
"Do all ducks ""quack""?",No
"Do all ducks ""quack""?",no
"Do all ducks ""quack""?",no
"Do all ducks ""quack""?",No
Do carrion beetles eat dung?,no
Do carrion beetles eat dung?,no
Do female polar bears weight more than the male?,no
Do female polar bears weight more than the male?,No
Do kangaroos have many natural predators?,no
Do kangaroos have many natural predators?,No
Do penguins have a better than average sense of hearing for birds?,No
Do sea otters have long muscular tails?,no
Do sea otters have long muscular tails?,No
Do turtles lay eggs underwater?,No
Do turtles lay eggs underwater?,no
Does a large proportion of the population speak Swedish as its mother tongue?,No
Does Indonesia have the world's hightest level of biodiversity?,no
Does Indonesia have the world's hightest level of biodiversity?,No
Does Liechtenstein have an army?,No
Does Qatar rank as the eighth richest country in the world per capita?,no
"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No
Does the giant otter inhabit South Africa?,no
Does the giant otter inhabit South Africa?,No
Does the mother care for the young?,No
Does the mother care for the young?,no
Does the native pronunciation of Qatar sound like 'cutter'?,no
Does Uruguay border French Guiana?,No
Does Uruguay border French Guiana?,No
Does Uruguay have cold summers?,no
Had Ford's wife married before?,No
Has another US President been an Eagle Scout?,no
Has another US President been an Eagle Scout?,no
Has tusklessness become a rare abnormality?,No
Have more than five Presidents lived past the age of 90?,no
Have more than five Presidents lived past the age of 90?,no
Have there been other US presidents that have visited Cuba?,No
Have there been other US presidents that have visited Cuba?,no
Is a kangaroo a reptile?,no
Is a kangaroo a reptile?,No
Is Calvin Jr. older than John Coolidge?,No
Is Calvin Jr. older than John Coolidge?,No
Is Canada's official language Zulu?,no
Is Egypt the most populated country in Africa?,no
Is Egypt the most populated country in Africa?,No
Is Ghana in Asia?,no
Is Ghana in Asia?,No
Is Indonesia a monarchy with a presidential system?,no
Is Indonesia a monarchy with a presidential system?,No
Is it true that he published a collection in 1738?,No
Is Liechtenstein heavily urbanized?,No
Is Liechtenstein heavily urbanized?,No
Is Singapore located at the southern tip of the Korean Penisula?,no
Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No
Is the Adephaga suborder larger than the Polyphaga suborder?,no
Is the Asian elephant larger than the African?,no
Is the capital city Oslo?,no
Is the capital city Oslo?,No
Is the most read newspaper in Finland Taloussanomat?,no
Is the most read newspaper in Finland Taloussanomat?,No
Is there an airport in Liechtenstein?,No
Is Uruguay located in the northwesten part of Africa?,no
Is Uruguay the smallest soverign nation in South America?,No
Is Uruguay the smallest soverign nation in South America?,No
Is Uruguay's warmest month June?,No
Is Uruguay's warmest month June?,No
Was Abraham Lincoln the first President of the United States?,No
Was Abraham Lincoln the first President of the United States?,No
Was Calvin Coolidge the twenty-ninth vice president?,no
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,no
Was Coolidge the thirteenth President of the United States?,No
"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no
Was Ford active about Vietnamese affairs?,No
Was Grover Cleveland born in New York?,no
Was Grover Cleveland born in New York?,no
Was Indonesia named after it became an independent country?,no
Was Indonesia named after it became an independent country?,No
Was John Calvin Coolidge Jr. was born in Las Vegas?,No
Was John Calvin Coolidge Jr. was born in Las Vegas?,no
Was Liechtenstein completed in November 2000?,No
Was Monroe anticlerical?,no
Was Woodrow Wilson the thirtieth President of the United States?,no
Was Woodrow Wilson the thirtieth President of the United States?,No
Were the treaties signed in 1947 and 1948 with the Ukraine?,no
Were the treaties signed in 1947 and 1948 with the Ukraine?,No
Did Theodore Roosevelt study Judo?,No clue
What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!
Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001."
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"No, it did not."
Is an official language of Canada German?,"No, it is not."
Did Singapore's standard of living decrease since independence?,"No, the standard living was raised."
Has tusklessness become a rare abnormality?,"No, tusklessness has become a widespread hereditary trait. "
Are kangaroos farmed to any extent?,No.
Are there many Roma in Romania?,No.
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.
Did his mother die of pneumonia?,No.
Did John Adams get along with Alexander Hamilton?,No.
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.
Did Wilson support the committee system?,No.
Does Liechtenstein have an army?,No.
Does Qatar rank as the eighth richest country in the world per capita?,No.
Does Uruguay have cold summers?,No.
Is an official language of Canada German?,No.
Is Canada's official language Zulu?,No.
Is Egypt in Asia?,No.
Is Liechtenstein heavily urbanized?,No.
Is there an airport in Liechtenstein?,No.
Is Uruguay located in the northwesten part of Africa?,No.
Is uruguay's landscape mountainous?,No.
Was Grover Cleveland the twenty-seventh president of the United States?,No.
Was Grover Cleveland the twenty-seventh president of the United States?,No.
Are Gray Wolves native to North America?,No. Current theory suggests that it's from Eurasia
Is Uruguay very common?,No?
What is a country with which Finland is involved in an international conflict?,None
What land animal is larger than an elephant?,None
What land animal is larger than an elephant?,"None, the elephant is the largest land animal."
What religion do most Uruguayans profess?,None.
Where is Finland located?,Northern Europe
Where is Finland located?,Northern Europe
Did Wilson support desegregation?,Not in the slightest.
Is uruguay's landscape mountainous?,not really?
What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it
Are all official holidays in Finland established by acts of Parliament ?,NULL
Are Count Volta 's original instruments and papers on display there ?,NULL
Are Count Volta 's original instruments and papers on display there ?,NULL
Are Kangaroos Shy?,NULL
Are more than 100 languages and dialects spoken in Ghana ?,NULL
Are Native Ghanaian languages divided into two linguistic subfamilies of the Niger-Congo language family ?,NULL
Are the people of Finland accustomed to technology and information services ?,NULL
Are Various sporting events popular in Finland ?,NULL
"Are Various trees claimed to be "" the "" apple tree which Newton describes ?",NULL
Can the title of this famous 1811 paper be roughly translated into english?,NULL
Did Abraham Lincoln live in the Frontier?,NULL
"Did Coolidge not publish his autobiography in 1929 and write a syndicated newspaper column , `` Calvin Coolidge Says , '' from 1930 -- 1931 ?",NULL
"Did European and other : 0.2 % Religions : Christian 63 % , African beliefs 21 % , Muslim 16 % , Facts on People of Ghana , not access July 13 , 2006 More than 100 languages and dialects are spoken in Ghana ?",NULL
Did France cede nearly all of its colonies in Europe in 1763?,NULL
Did he not realize that the frog 's leg served as both a conductor of electricity -LRB- we would now call it an electrolyte -RRB- and as a detector of electricity ?,NULL
Did lincoln have 18 months of schooling?,NULL
Did Lincoln's Wife's Family support slavery?,NULL
"Did Millard Fillmore die on March 8, 1974?",NULL
Did Newton not entertain `` a passion '' for Storer while he lodged at the Clarke house ?,NULL
Did Singapore's standard of living decrease since independence?,NULL
Did the media contribute 15.6% to Singapore's GDP in 2001?,NULL
Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?,NULL
Did the scientific community not reserve great attention to his theory ?,NULL
Did the scientific community not reserve great attention to his theory ?,NULL
Did Wilson have any siblings?,NULL
Do 79 percent of the population not use the Internet ?,NULL
Do scholars rank lincoln among the top three presidents?,NULL
Do singaporeans enjoy squid?,NULL
Does # Newton not  Third Law states that for every action there is an equal and opposite reaction ?,NULL
Does a male leopard weigh more than a female leopard?,NULL
Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,NULL
Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,NULL
Does this not allow retailers of taxable goods under Act 546 to charge a marginal 3 % on their sales and account on same to the VAT Service ?,NULL
Does this not make the zinc rod the negative electrode and the copper rod the positive electrode ?,NULL
Ghana 's spending on education has what?,NULL
Had the tax regime which started in 1998 a single rate but since September 2007 entered into a multiple rate regime ?,NULL
He is what?,NULL
He is what?,NULL
He later what?,NULL
How did Fillmore ascend to the presidency?,NULL
How did the supporters of Henry Clay feel about Fillmore in 1848?,NULL
How does the distribution size of the leopard compare to the distribution of other wild cats?,NULL
How has Canada helped UN peacekeeping efforts?,NULL
How is Singapore's climate characterized?,NULL
How long is a leopard's tail?,NULL
How long was Lincoln's legal Career?,NULL
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,NULL
How many people use the bus network daily?,NULL
How much does a leopard weigh?,NULL
How much increase in the media's contribution to GDP is the government seeking?,NULL
How old was Lincoln in 1816?,NULL
HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?,NULL
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",NULL
Is a Kangaroo a Marsupial?,NULL
"Is all teaching done in English , Ghana 's official language ?",NULL
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,NULL
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,NULL
Is Canada a member of the OECD?,NULL
Is Canada's official language Zulu?,NULL
"Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?",NULL
"Is finland a democratic , parliamentary republic?",NULL
Is finnish architecture famous?,NULL
Is finnish culture indigenous?,NULL
Is he most noted for his contributions to the theory of molarity and molecular weight?,NULL
Is he most noted for his contributions to the theory of molarity and molecular weight?,NULL
Is it approximately 6.0221415 10 23 ?,NULL
Is it approximately 6.0221415 10 23 ?,NULL
Is it true that agricultural expansion marked the period before 500?,NULL
Is it true that anecdotal evidence connected the akans to this empire?,NULL
Is it true that he acquired a circle of admirers?,NULL
Is it true that he appointed stone to the supreme court?,NULL
Is it true that he became a professor in 1820?,NULL
Is it true that he became a professor in 1820?,NULL
Is it true that he composed finlandia in 1899?,NULL
Is it true that it has borders with sweden?,NULL
Is it true that newton saw god as the master creator?,NULL
Is it true that the portuguese came to ghana in the 15th century?,NULL
Is it true that this contained the beginnings of the laws of motion?,NULL
Is it true that volta became professor of physics?,NULL
Is it true that volta entered retirement in spain?,NULL
Is Medieval Ghana (4th- 13th Century): The Republic of Ghana is named after the medieval Ghana Empire of West Africa. named after the medieval Ghana Empire of West Africa?,NULL
Is the capital city helsinki?,NULL
Is the electrolyte sulphuric acid?,NULL
Is the genius of the average the most convincing proof of $ his strength?,NULL
Is the kangaroo an herbivour?,NULL
Is the leopard of the Felidae family?,NULL
Is the leopard one of the four 'big cats'?,NULL
Is the old ghana 500 miles?,NULL
Is The Parliament of Ghana unicameral?,NULL
Is the republic of ghana a country in west africa?,NULL
Is Volta buried in the city of Como ?,NULL
Is Volta buried in the city of Como?,NULL
Lunch is what?,NULL
NOTTTT  FOUND,NULL
NOTTTT  FOUND,NULL
The coastline is what?,NULL
The earliest people were what?,NULL
The Republicans retained what?,NULL
The unification of Italy did what?,NULL
They were what?,NULL
To whom was Millard Fillmore born to?,NULL
Volta became professor of physics in the Como high school in what year?,NULL
Was 364 Stone later appointed Chief Justice by President Franklin D. Roosevelt ?,NULL
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",NULL
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",NULL
Was Coolidge admitted to the bar?,NULL
Was Coolidge more outspoken?,NULL
Was his 1800 paper written in French ?,NULL
Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Was Lincoln chosen as a presidential candidate in 1860?,NULL
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,NULL
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,NULL
"Was Millard Fillmore born on January 7, 1800?",NULL
Was Millard Fillmore the thirteenth President of the United States?,NULL
Was Newton born three months after the death of his father?,NULL
"Was Newton outraged , and went about the work to uncover anything about Chaloner ?",NULL
Was Newton outraged?,NULL
"Was one of the most productive composers of popular music Toivo Kärki , and the most famous singer Olavi Virta -LRB- 1915 -- 1972 -RRB- ?",NULL
Was Roosevelt's family rich?,NULL
Was this study cast into doubt when it was later found that Newton himself wrote the study 's concluding remarks on Leibniz ?,NULL
"Were the more well-known Coolidges , such as architect Charles Allerton Coolidge , and diplomat Archibald Cary Coolidge , descended from other branches of the family that had stayed in MassachuS08_setts ?",NULL
Were the two in a dispute over optical discoveries at the time ?,NULL
What ac phaenomenis inde pendentibus?,NULL
What are a rumors that he remained a virgin?,NULL
What arrived in Finland?,NULL
What ceded by Finland?,NULL
What connected the Akans to this Empire?,NULL
What did Alessandro Volta publish in 1800?,NULL
What did Coolidge address in 1924?,NULL
What did Finland join in 1995?,NULL
What did Ghana capture in 1642?,NULL
"What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?",NULL
What did James Monroe's letters not contain?,NULL
What did Taylor and Fillmore disagree upon?,NULL
What died in London?,NULL
What do jari litmanen and sami hyypiä have in common?,NULL
What do well - received and he have in common?,NULL
What emigrated from Cambridge?,NULL
What Eves?,NULL
What graduated from Black?,NULL
What happened at the time of newton 's birth?,NULL
"What happened from black river academy , vermont?",NULL
What happened from school?,NULL
What happened from tuberculosis?,NULL
What happened in 1800?,NULL
What happened in 1833?,NULL
What happened in french?,NULL
What happened on those of aristotle?,NULL
What happened with $ its invention?,NULL
What happened with the portuguese in the 15th century?,NULL
What is a collective noun for a kangaroo?,NULL
What is a roo?,NULL
What is concentrated in the southern part of the country?,NULL
What is Helsinki?,NULL
What is one significant non-official language?,NULL
What is spoken natively by a 5.5 percent minority?,NULL
What is the average life expectancy of a kangaroo?,NULL
What is the difference between leopards and cheetahs?,NULL
What is the most densely populated independent country in the world?,NULL
What is the MRT?,NULL
What is the national language of Singapore?,NULL
What is the primary domestic source of water supply?,NULL
What is the punishment for first-degree murder?,NULL
What is used to protect a vehicale from a Kangaroo?,NULL
What may be called Volta's Law of the electrochemical series?,NULL
What method is used by Kangaroos to travel?,NULL
What method of locomotion do Kangaroos Use?,NULL
What percentage of the population don't speak English or French at home?,NULL
What quartered on March?,NULL
What Retrieved on May?,NULL
What situated in Northern?,NULL
What thrust him into the national spotlight?,NULL
What to be born on the fourth of July?,NULL
What trail did Lincoln use a Farmers' Almanac in? ,NULL
What was against William?,NULL
What was an Italian savant?,NULL
What was an Italian savant?,NULL
"What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?",NULL
What was on March?,NULL
What was the Consitution Act formerly called?,NULL
What was the result of the rejection of the Jay Treaty?,NULL
What was Wagadugu?,NULL
When did Goh Chok Tong succeed Lee as Prime Minister?,NULL
When did he become a professor?,NULL
When did he become a professor?,NULL
When did he become professor?,NULL
When did he publish another memoria?,NULL
When did he publish another memoria?,NULL
When did James Monroe die?,NULL
When did James Monroe graduate from William and Mary?,NULL
When did James Monroe introduce the Monroe Doctrine?,NULL
When was James Monroe appointed to Secretary of War?,NULL
When was James Monroe elected president?,NULL
When was Lee Kuan Yew prime minister of Singapore?,NULL
When was the first photgraph of lincoln taken?,NULL
Where did Orang Laut people live?,NULL
Where is the leopard distributed?,NULL
Where is the National Orchid Garden?,NULL
Where was Millard Fillmore born?,NULL
Which countries established colonies in Canada?,NULL
Which property did James Monroe sell in 1817?,NULL
"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",NULL
"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",NULL
Who did James Monroe live with in New York City?,NULL
Who did Millard Fillmore fall in love with?,NULL
Who did Sir Thomas Stamford Raffles work for?,NULL
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,NULL
Who is most noted for his contributions to the theory of molarity and molecular weight?,NULL
Who is most noted for his contributions to the theory of molarity and molecular weight?,NULL
"Who is the autonomous Åland Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?",NULL
Who or what placed as high as sixth in the voting?,NULL
Who sits at Osu Castle ?,NULL
Who was the elder of two children of John Calvin Sr and Victoria Coolidge?,NULL
"Who was, by later reports of his contemporaries, thoroughly unhappy with the work?",NULL
Why are relations with Malaysia and Indonesia important?,NULL
Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, and cubeb pepper"
Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper"
When was Liechtenstein's current constitution adopted?,October 1921.
How did Fillmore ascend to the presidency?,Official White House portrait of Millard FillmoreFillmore ascended to the presidency upon the sudden and unexpected death of President Taylor in July 1850.
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
Qatar became an independent sovereign state in what year?,"On September 3, 1971."
The State Court rules what?,on the conformity of laws with the constitution
How many times has Uruguay won the World Cup?,On two or more occasions.
How many living species of Asian Elephants are there?,one
How many years after Cleveland left office did the U.S. win the Spanish-American War?,one
Oxygen is what?,One kind of gas obtained via a tracheal system.
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae"
What is the MRT?,One of three heavy rail passenger transport lines in Singapore.
How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year
Can polar bears be seen under infrared photography?,Only their breath and muzzles can be easily seen
Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands."
The collective noun romp is sometimes used for a group of what?,Otters
Was Wilson an automobile enthusiast?,ouai
For how long was Ford a member of the House of Representatives?,Over eight years.
What do turles use to breathe in the water?,Papillae
What suborder of turtles is extinct?,Paracryptodira
What suborder of turtles is extinct?,Paracryptodira
Where was the League of Nations created?,Paris
Where was the League of Nations created?,Paris
What are the names of Uruguay's political parties?,Partido Blanco and Partido Colorado
What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco
How many species of penguins are there?,"Penguin biodiversity varies between 17 and 20 living species, all in the subfamily Spheniscinae."
Who spend half of their life on land and half in the oceans?,Penguins
"What have become flippers, useless for flight in the air?",Penguins' wings
What fraternity was Coolidge a member of?,Phi Gamma Delta
What fraternity was Coolidge a member of?,phi gamma delta
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed
What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters"
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles."
What does a citizen use to propose changes to the Constitution?,Plebiscite
What is the smallest suborder of turtles?,Pleurodira
What is the smallest suborder of turtles?,Pleurodira
What suborder of turtle draws its head into its shell?,Pleurodira
What suborder of turtle draws its head into its shell?,Pleurodira
Where did Coolidge's grandfather had government offices?,Plymouth
When was Coolidge born?,"Plymouth, Windsor County, Vermont"
Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont"
Why is the giant otter becoming increasingly rare?,"poaching, habitat loss, and the use of mercury in illegal alluvial gold mining"
Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  "
Where was Grant born?,"Point Pleasant, Ohio"
Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.
What European countries established states in Ghana?,"Portugual, France, Britain, Netherlands"
Does Romania share the same language with Moldova?,Practically
Who is the head of state of Ghana?,President John Agyekum Kofuor
What bordered by Saudi?,Qatar
How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City
What Roman province was Liechtenstein part of?,Raetia
What Roman province was Liechtenstein part of?,Raetia.
What happened in 1917?,"raised billions through Liberty loans, imposed an income tax, S08_set up the War Industries Board, promoted labor union growth, supervised agriculture and food production through the Lever Act, took over control of the railroads, and suppressed anti-war movements"
"What does ""Era of Good Feelings"" refers to?",Reduced tension
What does a citizen use to propose changes to the Constitution?,Referendum
What is the weather like in summer?,relatively warm
What is the weather like in summer?,relatively warm
What was Grant's political affiliation?,Republican
What was Grant's political affiliation?,Republican
Who were Grover Cleveland's parents?,Reverend Richard Cleveland and Anne Neal.
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds."
